Norsonic RTA840

Generated: Tue 23 Mar 2021 20:31:21 (sdf2txt, ver 1.09)
Title: No measurement title specified

Setup information
Measurement mode: Lvl-FFT-Sgl
Master Instrument Mode: Normal

Lower frequency: 0.00Hz
Upper frequency: 781.25Hz
Window 1: Hanning
Measurement start: Mon 15 Mar 2021 22:40:17
Number of averages: 20
Trigger condition: Manual

Channel 1:
Input: Line
Calibration: 0.0
Reference level (0dB): 2.00e-05
Fullscale: 95dB
High pass filter: 20Hz

"3CD09.SDF"
"Period = 0"
"              X[Hz]",     "Auto Pwr Spec",     
"               0.00",                 "-",     
"               0.98",                -2.2,     
"               1.95",               -20.7,     
"               2.93",               -22.8,     
"               3.91",               -24.5,     
"               4.88",               -26.2,     
"               5.86",               -25.1,     
"               6.84",               -25.0,     
"               7.81",               -25.9,     
"               8.79",               -24.0,     
"               9.77",               -23.1,     
"              10.74",               -22.3,     
"              11.72",               -21.7,     
"              12.70",               -18.9,     
"              13.67",               -17.4,     
"              14.65",               -17.5,     
"              15.63",               -16.5,     
"              16.60",               -16.0,     
"              17.58",               -17.2,     
"              18.55",               -15.2,     
"              19.53",               -13.6,     
"              20.51",               -13.4,     
"              21.48",               -15.1,     
"              22.46",               -15.0,     
"              23.44",               -14.6,     
"              24.41",               -13.6,     
"              25.39",               -15.0,     
"              26.37",               -13.6,     
"              27.34",               -12.5,     
"              28.32",               -12.3,     
"              29.30",               -12.9,     
"              30.27",               -13.1,     
"              31.25",               -15.1,     
"              32.23",               -15.1,     
"              33.20",               -13.3,     
"              34.18",               -15.3,     
"              35.16",               -14.6,     
"              36.13",               -13.4,     
"              37.11",               -13.9,     
"              38.09",               -15.0,     
"              39.06",               -15.0,     
"              40.04",               -13.3,     
"              41.02",               -14.4,     
"              41.99",               -16.6,     
"              42.97",               -15.9,     
"              43.95",               -13.7,     
"              44.92",               -15.5,     
"              45.90",               -15.7,     
"              46.88",               -12.1,     
"              47.85",               -11.4,     
"              48.83",                 1.6,     
"              49.80",                10.4,     
"              50.78",                 6.9,     
"              51.76",               -12.8,     
"              52.73",               -16.2,     
"              53.71",               -16.7,     
"              54.69",               -16.5,     
"              55.66",               -14.9,     
"              56.64",               -14.4,     
"              57.62",               -13.7,     
"              58.59",               -16.1,     
"              59.57",               -16.7,     
"              60.55",               -16.5,     
"              61.52",               -14.7,     
"              62.50",               -16.1,     
"              63.48",               -15.5,     
"              64.45",               -14.9,     
"              65.43",               -15.5,     
"              66.41",               -14.1,     
"              67.38",               -13.1,     
"              68.36",               -10.9,     
"              69.34",               -10.1,     
"              70.31",                -8.8,     
"              71.29",               -10.4,     
"              72.27",               -11.9,     
"              73.24",               -13.1,     
"              74.22",               -15.4,     
"              75.20",               -16.4,     
"              76.17",               -18.6,     
"              77.15",               -16.0,     
"              78.13",               -14.8,     
"              79.10",               -14.8,     
"              80.08",               -15.4,     
"              81.05",               -15.3,     
"              82.03",               -13.9,     
"              83.01",               -15.1,     
"              83.98",               -15.5,     
"              84.96",               -14.8,     
"              85.94",               -15.5,     
"              86.91",               -14.6,     
"              87.89",               -13.6,     
"              88.87",               -11.1,     
"              89.84",               -11.3,     
"              90.82",                -9.9,     
"              91.80",                -8.3,     
"              92.77",                -6.6,     
"              93.75",                -4.9,     
"              94.73",                -2.4,     
"              95.70",                 -.3,     
"              96.68",                 2.3,     
"              97.66",                 5.2,     
"              98.63",                 8.4,     
"              99.61",                12.2,     
"             100.59",                16.6,     
"             101.56",                21.9,     
"             102.54",                28.7,     
"             103.52",                38.1,     
"             104.49",                54.4,     
"             105.47",                69.3,     
"             106.45",                69.8,     
"             107.42",                56.6,     
"             108.40",                39.1,     
"             109.38",                29.4,     
"             110.35",                22.4,     
"             111.33",                17.0,     
"             112.30",                12.5,     
"             113.28",                 8.8,     
"             114.26",                 5.4,     
"             115.23",                 2.5,     
"             116.21",                  .0,     
"             117.19",                -2.6,     
"             118.16",                -4.5,     
"             119.14",                -6.6,     
"             120.12",                -7.7,     
"             121.09",               -10.0,     
"             122.07",               -10.8,     
"             123.05",               -12.8,     
"             124.02",               -12.4,     
"             125.00",               -14.2,     
"             125.98",               -13.5,     
"             126.95",               -15.9,     
"             127.93",               -15.8,     
"             128.91",               -17.5,     
"             129.88",               -17.7,     
"             130.86",               -18.4,     
"             131.84",               -19.2,     
"             132.81",               -20.3,     
"             133.79",               -18.7,     
"             134.77",               -18.0,     
"             135.74",               -18.6,     
"             136.72",               -19.9,     
"             137.70",               -21.0,     
"             138.67",               -21.0,     
"             139.65",               -19.2,     
"             140.63",               -17.2,     
"             141.60",               -19.0,     
"             142.58",               -20.4,     
"             143.55",               -18.7,     
"             144.53",               -17.6,     
"             145.51",               -17.1,     
"             146.48",               -19.2,     
"             147.46",               -18.8,     
"             148.44",               -12.2,     
"             149.41",                 4.2,     
"             150.39",                 5.2,     
"             151.37",                -6.4,     
"             152.34",               -17.7,     
"             153.32",               -18.7,     
"             154.30",               -21.4,     
"             155.27",               -22.6,     
"             156.25",               -20.5,     
"             157.23",               -20.2,     
"             158.20",               -20.4,     
"             159.18",               -21.0,     
"             160.16",               -19.4,     
"             161.13",               -20.5,     
"             162.11",               -19.8,     
"             163.09",               -20.5,     
"             164.06",               -20.7,     
"             165.04",               -21.3,     
"             166.02",               -21.1,     
